	Time_s	Positive_count	Negative_count
Video1	0,203	0,088	0,006	
Video2	0,057	0,124	0,215	
Video3	0,055	0,129	0,083	
Video4	0,101	0,106	0,083	
Video5	0,143	0,097	0,089	
Video6	0,092	0,097	0,083	
Video7	0,096	0,105	0,083	
Video8	0,097	0,103	0,08	
Video9	1,0	0,103	0,078	
Video10	0,092	0,11	0,083	
Video11	0,146	0,379	0,087	
Video12	0,129	0,125	0,089	
Video13	0,092	0,011	0,08	
Video14	0,092	0,012	0,08	
Video15	0,092	0,011	0,08	
Video16	0,096	0,146	0,938	
Video17	0,097	0,002	0,006	
Video18	0,012	0,146	0,36	
Video19	0,045	0,106	0,331	
Video20	0,136	0,106	0,083	
Video21	0,096	0,105	0,958	
Video22	0,148	0,104	0,083	
Video23	0,145	0,104	0,087	
Video24	0,15	0,104	0,083	
Video25	0,16	0,104	0,083	
Video26	0,193	0,104	0,083	
Video27	0,148	0,097	0,089	
Video28	0,096	1,0	1,0	
Video29	0,134	0,105	0,083	
Video30	0,143	0,088	0,087	
Video31	0,134	0,106	0,089	
Video32	0,148	0,107	0,083	
Video33	0,143	0,106	0,089	
Video34	0,148	0,107	0,083	
Video35	0,15	0,106	0,08	
Video36	0,101	0,106	0,081	
Video37	0,148	0,105	0,086	
Video38	0,148	0,105	0,08	
Video39	0,148	0,105	0,086	
Video40	0,0	0,0	0,0	
